t: 0.200859
nCells: 20x20, dx: 0.1, dx: 0.1
u (21x22):
            17|             0     -0.003279     -0.004447     -0.004551     -0.004303     -0.003992     -0.003719     -0.003507      -0.00336     -0.003274     -0.003246     -0.003275     -0.003361     -0.003509     -0.003722        -0.004     -0.004317     -0.004577     -0.004492     -0.003343             0
            16|             0      -0.00183     -0.002911     -0.003357     -0.003453     -0.003396      -0.00329     -0.003184     -0.003101     -0.003049     -0.003032      -0.00305     -0.003103     -0.003187     -0.003295     -0.003404     -0.003466     -0.003377     -0.002937     -0.001855             0
            15|             0     -0.001154     -0.002008     -0.002511     -0.002756     -0.002847     -0.002858     -0.002837     -0.002809     -0.002788      -0.00278     -0.002789     -0.002811      -0.00284     -0.002863     -0.002854     -0.002766     -0.002524     -0.002023     -0.001166             0
            14|             0    -0.0007963     -0.001458     -0.001922     -0.002212     -0.002376      -0.00246     -0.002496     -0.002509     -0.002513     -0.002513     -0.002514     -0.002511     -0.002499     -0.002464     -0.002382      -0.00222     -0.001931     -0.001466     -0.000802             0
            13|             0    -0.0005852     -0.001103     -0.001507     -0.001795     -0.001987     -0.002108      -0.00218      -0.00222      -0.00224     -0.002246     -0.002241     -0.002222     -0.002182     -0.002111     -0.001992     -0.001801     -0.001513     -0.001109    -0.0005884             0
            12|             0    -0.0004499    -0.0008638     -0.001208     -0.001474     -0.001669     -0.001805     -0.001895     -0.001951     -0.001981     -0.001991     -0.001982     -0.001952     -0.001897     -0.001807     -0.001672     -0.001478     -0.001212    -0.0008671    -0.0004519             0
            11|             0    -0.0003575    -0.0006942    -0.0009861     -0.001224      -0.00141     -0.001547     -0.001644     -0.001707     -0.001743     -0.001755     -0.001744     -0.001708     -0.001645     -0.001549     -0.001412     -0.001227    -0.0009887    -0.0006964    -0.0003587             0
            10|             0    -0.0002911    -0.0005696    -0.0008178     -0.001028     -0.001198      -0.00133     -0.001426     -0.001491     -0.001529     -0.001542      -0.00153     -0.001492     -0.001427     -0.001331       -0.0012      -0.00103    -0.0008197    -0.0005711    -0.0002919             0
             9|             0    -0.0002417    -0.0004753    -0.0006876     -0.000872     -0.001025     -0.001147     -0.001239     -0.001303      -0.00134     -0.001353     -0.001341     -0.001304      -0.00124     -0.001149     -0.001027    -0.0008734    -0.0006889    -0.0004763    -0.0002422             0
             8|             0    -0.0002039    -0.0004024    -0.0005852    -0.0007468     -0.000884    -0.0009954     -0.001081     -0.001141     -0.001177     -0.001189     -0.001177     -0.001142     -0.001082    -0.0009963     -0.000885    -0.0007478    -0.0005861    -0.0004031    -0.0002042             0
             7|             0    -0.0001745    -0.0003452    -0.0005039     -0.000646    -0.0007684    -0.0008692    -0.0009476     -0.001003     -0.001037     -0.001048     -0.001037     -0.001004    -0.0009482    -0.0008699    -0.0007691    -0.0006468    -0.0005046    -0.0003457    -0.0001747             0
             6|             0    -0.0001514    -0.0003001    -0.0004393     -0.000565    -0.0006744    -0.0007654    -0.0008369    -0.0008883    -0.0009192    -0.0009295    -0.0009193    -0.0008886    -0.0008374    -0.0007659    -0.0006749    -0.0005655    -0.0004397    -0.0003005    -0.0001516             0
             5|             0    -0.0001334    -0.0002647    -0.0003881    -0.0005003    -0.0005987    -0.0006812    -0.0007464    -0.0007936    -0.0008221    -0.0008316    -0.0008222    -0.0007938    -0.0007467    -0.0006815    -0.0005991    -0.0005007    -0.0003884    -0.0002649    -0.0001335             0
             4|             0    -0.0001193     -0.000237    -0.0003481    -0.0004495    -0.0005388    -0.0006142    -0.0006741    -0.0007175    -0.0007439    -0.0007527    -0.0007439    -0.0007177    -0.0006743    -0.0006144    -0.0005391    -0.0004497    -0.0003483    -0.0002372    -0.0001194             0
             3|             0    -0.0001088    -0.0002161    -0.0003177    -0.0004107    -0.0004929    -0.0005626    -0.0006182    -0.0006586    -0.0006831    -0.0006914    -0.0006832    -0.0006587    -0.0006183    -0.0005628    -0.0004932    -0.0004109    -0.0003178    -0.0002163    -0.0001088             0
             2|             0    -0.0001011    -0.0002011    -0.0002957    -0.0003826    -0.0004597    -0.0005251    -0.0005774    -0.0006155    -0.0006387    -0.0006465    -0.0006388    -0.0006156    -0.0005775    -0.0005252    -0.0004599    -0.0003828    -0.0002959    -0.0002012    -0.0001012             0
             1|             0    -9.623e-05    -0.0001914    -0.0002815    -0.0003644    -0.0004381    -0.0005006    -0.0005508    -0.0005874    -0.0006096    -0.0006171    -0.0006097    -0.0005874    -0.0005509    -0.0005008    -0.0004382    -0.0003646    -0.0002816    -0.0001914    -9.625e-05             0
             0|             0    -9.197e-05    -0.0001829    -0.0002692    -0.0003485     -0.000419     -0.000479    -0.0005271    -0.0005622    -0.0005836    -0.0005908    -0.0005836    -0.0005623    -0.0005272    -0.0004791    -0.0004191    -0.0003486    -0.0002692     -0.000183    -9.199e-05             0
            -1|             0     9.242e-05     0.0001838     0.0002705     0.0003503     0.0004211     0.0004814     0.0005297      0.000565     0.0005865     0.0005937     0.0005866     0.0005651     0.0005298     0.0004815     0.0004212     0.0003504     0.0002706     0.0001839     9.245e-05             0

g (22x21):
              |            -1             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            19|             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
            18|      -0.01691       0.01675      0.006808      0.003141      0.001666     0.0009786     0.0006118     0.0003916     0.0002446     0.0001355     4.506e-05    -3.966e-05    -0.0001296    -0.0002374    -0.0003823    -0.0005991    -0.0009608     -0.001641     -0.003109     -0.006785      -0.01681       0.01699
            17|      -0.01017        0.0101      0.006699      0.004101      0.002554      0.001642       0.00108     0.0007121     0.0004521     0.0002522     8.299e-05    -7.675e-05    -0.0002455    -0.0004442    -0.0007024     -0.001068     -0.001626     -0.002536     -0.004085     -0.006708      -0.01024       0.01028
            16|     -0.006888      0.006848      0.005535      0.003999      0.002803      0.001952      0.001354     0.0009236      0.000599      0.000338     0.0001111    -0.0001052    -0.0003318    -0.0005921    -0.0009158     -0.001345     -0.001943     -0.002796     -0.003998     -0.005555     -0.006907      0.006936
            15|     -0.005057       0.00503      0.004456      0.003554      0.002707       0.00201      0.001461      0.001029     0.0006821     0.0003899     0.0001284    -0.0001231    -0.0003845    -0.0006764     -0.001023     -0.001455     -0.002005     -0.002705     -0.003558     -0.004471     -0.005059      0.005082
            14|     -0.003902      0.003882      0.003602      0.003052      0.002463      0.001919      0.001449      0.001051     0.0007102     0.0004109     0.0001358    -0.0001314    -0.0004065    -0.0007058     -0.001046     -0.001445     -0.001917     -0.002463     -0.003057     -0.003613     -0.003898      0.003917
            13|     -0.003106       0.00309      0.002941      0.002587      0.002173      0.001755      0.001366      0.001014     0.0006973     0.0004078     0.0001353    -0.0001316    -0.0004042    -0.0006939     -0.001011     -0.001364     -0.001754     -0.002174     -0.002592     -0.002949       -0.0031      0.003115
