t: 8.91495
nCells: 20x20, dx: 0.1, dx: 0.1
u (21x22):
            10|      -0.00125      -0.00125     -0.001274     -0.001297     -0.001323     -0.001353     -0.001387     -0.001426     -0.001468     -0.001512     -0.001556     -0.001598     -0.001633     -0.001655     -0.001647     -0.001562     -0.001252    -0.0002636      0.001791      0.004582       0.00621       0.00621
             9|    -0.0009538    -0.0009538    -0.0009733     -0.000986    -0.0009952     -0.001001     -0.001001    -0.0009934    -0.0009739    -0.0009367    -0.0008733    -0.0007708    -0.0006098    -0.0003606     2.263e-05     0.0006101      0.001567      0.002963      0.004826      0.006749       0.00774       0.00774
             8|    -0.0006799    -0.0006799    -0.0006943     -0.000697    -0.0006903     -0.000673    -0.0006424    -0.0005944    -0.0005232    -0.0004206     -0.000275    -6.992e-05      0.000218     0.0006213      0.001184      0.001974      0.003038      0.004343      0.005755      0.006929      0.007474      0.007474
             7|    -0.0004317    -0.0004317    -0.0004415    -0.0004352    -0.0004142    -0.0003771    -0.0003204    -0.0002396    -0.0001281     2.294e-05     0.0002253     0.0004947     0.0008519      0.001323      0.001937       0.00273      0.003683      0.004729      0.005714       0.00641      0.006683      0.006683
             6|    -0.0002127    -0.0002127    -0.0002186    -0.0002045    -0.0001717    -0.0001183     -4.09e-05     6.516e-05     0.0002062     0.0003903     0.0006278     0.0009316      0.001317        0.0018      0.002398      0.003108      0.003902      0.004705      0.005394      0.005835      0.005974      0.005974
             5|    -2.592e-05    -2.592e-05    -2.862e-05    -8.264e-06     3.412e-05     0.0001003     0.0001934     0.0003179     0.0004792     0.0006842     0.0009409      0.001258      0.001647      0.002113      0.002662      0.003277      0.003926      0.004545      0.005048      0.005353      0.005436      0.005436
             4|     0.0001261     0.0001261      0.000126     0.0001513     0.0002011      0.000277     0.0003817     0.0005192     0.0006938      0.000911      0.001176      0.001496      0.001874      0.002313      0.002807      0.003338      0.003874      0.004365       0.00475      0.004978      0.005037      0.005037
             3|     0.0002417     0.0002417     0.0002436     0.0002728     0.0003281     0.0004111     0.0005243     0.0006707      0.000854      0.001078      0.001346      0.001662      0.002027      0.002437      0.002884      0.003349      0.003804      0.004208      0.004519      0.004702      0.004749      0.004749
             2|     0.0003195     0.0003195     0.0003232     0.0003551     0.0004145     0.0005027     0.0006219     0.0007747     0.0009638      0.001192      0.001461      0.001773      0.002125      0.002513      0.002925      0.003344      0.003744      0.004093      0.004358      0.004514      0.004555      0.004555
             1|     0.0003598     0.0003598     0.0003651     0.0003987     0.0004606     0.0005523     0.0006757     0.0008329      0.001026      0.001258      0.001528      0.001837      0.002182      0.002557      0.002948      0.003339      0.003707      0.004025      0.004264      0.004405      0.004445      0.004445
             0|     0.0003666     0.0003666     0.0003723     0.0004057     0.0004686     0.0005622     0.0006879      0.000848      0.001044      0.001278      0.001551      0.001861      0.002205      0.002576      0.002962      0.003344      0.003701      0.004007      0.004237      0.004373      0.004412      0.004412
            -1|     0.0003666     0.0003666     0.0003723     0.0004057     0.0004686     0.0005622     0.0006879      0.000848      0.001044      0.001278      0.001551      0.001861      0.002205      0.002576      0.002962      0.003344      0.003701      0.004007      0.004237      0.004373      0.004412      0.004412

f (21x22):
              |            -1             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            20|             0         1.914         1.854          1.81         1.775         1.745          1.72         1.697         1.676         1.657         1.639         1.622         1.606         1.591         1.575         1.561         1.551         1.556         1.602         1.736             0
